Sales_Year,Sales_Month,Category,Number_Of_Transactions,Average_Transaction_Size,Total_Revenue
2023,8,"Art Supplies",117,31.912393,3733.75
2023,8,"Books (General)",57,28.520351,1625.66
2023,8,"Stationery and Supplies",155,10.170903,1576.49
2023,8,"Technology & Accessories",162,457.435062,74104.48
2023,8,Textbooks,128,170.153750,21779.68
2023,9,"Apparel and Merchandise",120,29.286083,3514.33
2023,9,"Art Supplies",112,33.496161,3751.57
2023,9,"Books (General)",56,26.690357,1494.66
2023,9,"Stationery and Supplies",147,10.589660,1556.68
2023,9,"Technology & Accessories",141,440.613333,62126.48
2023,9,Textbooks,138,168.384565,23237.07
2023,10,"Apparel and Merchandise",116,33.544741,3891.19
2023,10,"Art Supplies",118,31.755508,3747.15
2023,10,"Books (General)",60,27.152667,1629.16
2023,10,"Stationery and Supplies",163,10.590552,1726.26
2023,10,"Technology & Accessories",174,586.683793,102082.98
2023,10,Textbooks,138,176.059058,24296.15
2023,11,"Apparel and Merchandise",152,51.894671,7887.99
2023,11,"Art Supplies",192,85.789115,16471.51
2023,11,"Books (General)",76,42.398158,3222.26
2023,11,"Stationery and Supplies",243,25.244115,6134.32
2023,11,"Technology & Accessories",275,877.507091,241314.45
2023,11,Textbooks,137,165.568394,22682.87
2023,12,"Apparel and Merchandise",170,63.476294,10790.97
2023,12,"Art Supplies",154,44.204416,6807.48
2023,12,"Books (General)",94,34.965638,3286.77
2023,12,"Stationery and Supplies",206,15.333447,3158.69
2023,12,"Technology & Accessories",251,833.468924,209200.70
2023,12,Textbooks,141,180.367943,25431.88
2024,1,"Apparel and Merchandise",193,57.146943,11029.36
2024,1,"Art Supplies",159,41.768994,6641.27
2024,1,"Books (General)",63,42.152063,2655.58
2024,1,"Stationery and Supplies",207,16.059130,3324.24
2024,1,"Technology & Accessories",218,901.610505,196551.09
2024,1,Textbooks,99,164.827273,16317.90
2024,2,"Apparel and Merchandise",145,33.281310,4825.79
2024,2,"Art Supplies",102,30.545588,3115.65
2024,2,"Books (General)",57,26.505088,1510.79
2024,2,"Stationery and Supplies",114,10.286140,1172.62
2024,2,"Technology & Accessories",155,469.467613,72767.48
2024,2,Textbooks,78,170.608333,13307.45
2024,3,"Apparel and Merchandise",161,32.798758,5280.60
2024,3,"Art Supplies",123,31.803252,3911.80
2024,3,"Books (General)",55,27.076909,1489.23
2024,3,"Stationery and Supplies",173,10.002486,1730.43
2024,3,"Technology & Accessories",152,422.337566,64195.31
2024,3,Textbooks,109,170.860917,18623.84
2024,4,"Apparel and Merchandise",135,33.844370,4568.99
2024,4,"Art Supplies",98,34.204490,3352.04
2024,4,"Books (General)",61,29.477049,1798.10
2024,4,"Stationery and Supplies",145,10.440690,1513.90
2024,4,"Technology & Accessories",139,475.990791,66162.72
2024,4,Textbooks,83,174.458916,14480.09
2024,5,"Apparel and Merchandise",148,32.613446,4826.79
2024,5,"Art Supplies",103,31.344854,3228.52
2024,5,"Books (General)",61,28.509344,1739.07
2024,5,"Stationery and Supplies",162,10.111358,1638.04
2024,5,"Technology & Accessories",138,417.573261,57625.11
2024,5,Textbooks,117,174.524274,20419.34
2024,6,"Apparel and Merchandise",112,30.210000,3383.52
2024,6,"Art Supplies",127,32.476772,4124.55
2024,6,"Books (General)",51,30.914510,1576.64
2024,6,"Stationery and Supplies",130,9.578769,1245.24
2024,6,"Technology & Accessories",153,439.585948,67256.65
2024,6,Textbooks,113,176.667345,19963.41
2024,7,"Apparel and Merchandise",140,31.313143,4383.84
2024,7,"Art Supplies",117,31.912393,3733.75
2024,7,"Books (General)",57,28.520351,1625.66
2024,7,"Stationery and Supplies",155,10.170903,1576.49
2024,7,"Technology & Accessories",162,457.435062,74104.48
2024,7,Textbooks,128,170.153750,21779.68
2024,8,"Apparel and Merchandise",124,29.430242,3649.35
2024,8,"Art Supplies",116,33.268793,3859.18
2024,8,"Books (General)",57,26.532632,1512.36
2024,8,"Stationery and Supplies",153,10.433072,1596.26
2024,8,"Technology & Accessories",147,434.144830,63819.29
2024,8,Textbooks,143,168.069720,24033.97
2024,9,"Apparel and Merchandise",110,33.792818,3717.21
2024,9,"Art Supplies",112,31.995893,3583.54
2024,9,"Books (General)",56,25.677500,1437.94
2024,9,"Stationery and Supplies",155,10.150194,1573.28
2024,9,"Technology & Accessories",160,450.718688,72114.99
2024,9,Textbooks,133,176.686090,23499.25
2024,10,"Apparel and Merchandise",123,31.530000,3878.19
2024,10,"Art Supplies",105,31.958000,3355.59
